text,label
"Even if what you say is true, Muslims are not Europeans and we do not want them here.",hate
I cannot believe this muzzie.,hate
The problem with Islam is that it is about killing infidels. It must be banned.,hate
Muslims are human beings with human rights.,nothate
"I think it's quite ridiculous though, people seeking asylum and migrating here aren't all scheming to 'take over', it looks like you have been reading too many conspiracy theories....",nothate
Deathto all Muslims.,hate
All muslims are terrorists!,hate
"Muslims are a problem in many European countries. They are mostly unemployed, live in poverty and don't have any assets. How could they integrate?",hate
Islam is a disease that is sickening our children.,hate
Where did you read that? Are you sure that's true?,nothate
"The Muslim faith is problematic, we can't pretend like it isn't!",hate
They are NOT our brothers: They do not share our values and they are not interested in our future.,hate
How is it 'Islamophobic' when most bombers are Middle Eastern and Muslim?,hate
"Trusting everything you read online is not wise, especially on personal blogs that try to copy news sites or citizen journalism style.",nothate
"They are welcome. If this weren't the case, what would be the point of them coming here in the first place?",nothate
"This is not true. Islam is a peaceful religion, and the vast majority of Muslims are good people. Islam is a religion that everyone should respect.",nothate
Too many c a m e l f u c k e r s in this country.,hate
All these bigots keep saying that Muslims like me ought to be executed.,nothate
"I have no idea, but they shouldn't come here to pray their god.",hate
Islam is a religion that was established to be peaceful. Apart from few extremists that remains the case.,nothate
"Muslims have no place in a modern European country, they have no place in civilised Europe.",hate
Muslims have nothing to contribute to our society.,hate
Your words imply that all Muslims are incompatible with Western culture. Do you have any data to back this up?,nothate
"Islam is a disease, and you have to hate it. Islam is violent!",hate
"The concept of ""European Union"" is wider than that. A lot of people are included in it, Muslims too.",nothate
I am not aware of any evidence for this claim. Islam is a peaceful religion. What is the relation between Islam and the Ponzi Scheme fraud?,nothate
"Well, we shouldn't. Welcoming people from the so-called Muslim world makes us uncomfortable.",hate
"About 5% of the population in Europe is Muslim. Muslims are therefore only a very small part of our society, but important nontheless. I also want to add that ethnicity doesn't always correlate to religion.",nothate
Because they are all terrorists and are not welcome here.,hate
"Islam is a religion of peace, and everyone should be allowed to choose their own.",nothate
All muslims are rapists,hate
"Islam is a peaceful religion, just like its followers are. The disease is not Islam but discrimination.",nothate
Too many Jihadis in this country.,hate
There are so many Muslims in the UK that it is a condemnation to have them here.,hate
The problem with Islam is that it is about killing infidels. It must be banned.,hate
"The media would have us believe that there are huge influx of Muslims into Europe. The true number is around 25.7 million Muslims living in the EU (2016), corresponding to the 4,9%.",nothate
Islam is a toxic ideology that is contaminating Europe.,hate
"These Muslim MP’s should stop pretending they are British. They’re not, they are just invaders!",hate
There is nothing in the Quran that conflicts with Western culture.,nothate
Muslims like you deserve to die.,hate
We'll tortuer these Muslims without mercy.,hate
Your Muslim lives have no value.,hate
"If you are a Muslim, then you are probably stupid. ",hate
"If you’re going to generalise, then at least show me a source. Maybe you can prove me wrong, such as a list of examples of Muslim rapists?",nothate
"Muslim violent invaders have infiltrated our cities, towns and villages, of course they're not welcome. We must stamp them out.",hate
The Koran is not compatible with our country.,hate
"In a just world, Muslims like you would all be dead. ",hate
Islam teaches us to love our neighbor as ourselves. This includes those who do not share our religion or beliefs.,nothate
Islam is all about hate! When Muslims first set foot in Britain was when race hate started in England!,hate
The concept of tolerant Muslims is the world's biggest oxymoron. Islam is spewing ignorance to its adherents and making it about tolerance. Truth is that Muslims don't tolerate people of other faiths.,hate
These are all things that elites made up to conceal the great replacement.,hate
What we should do is stop Islam from promoting Sharia law in several countries.,hate
"There are many Muslims who are very peaceful people, and you seem to be unaware of this. I think that you are not being unfair to people of different faiths, we are all humans.",nothate
"This isn't true, being a religion, Islam has nothing to do with hatred. I would rather say that this is a political ideology that promotes hate and violence towards Muslims.",nothate
"They don't act like us, they're so disgusting und uncivilised! Europe is not the place for them.",hate
Why should I believe what Muslims say? Islam is a violent religion.,hate
What do you think Muslims are 'getting away with'?,nothate
We will keep attacking you Muslims until you are gone.,hate
"Doesn't it just seem like a reasonable conclusion, based upon the Qur'an, that Islam is a peaceful religion? What is the reason for what you're saying?",nothate
"But, coincidentally, all those I heard of are Muslims. ",hate
How come I have never heard of such a thing? Islam is a religion and people can chose their own.,nothate
"Islam is not a religion trying to control us. We have to do more to promote inclusion, not less.",nothate
"They are not incompatible if you understand what ""tolerant and diverse Britain"" means. There are Muslims in our country and we should be able to live side by side as equals, regardless of religion.",nothate
"Indonesian Christian in blasphemy storm for Twitter 'insult'
Police charge man with insulting Islam for allegedly comparing Prophet Muhammad with an accused child rapist

Indonesian Christian in blasphemy storm for Twitter 'insult'
Joseph Suryadi was arrested by Indonesian police on Dec. 14 after being accused of insulting the Prophet Muhammad on social media. (Photo: Joseph Suryadi’s Twitter account)

Konradus Epa
By Konradus Epa

Published: December 15, 2021 08:54 AM GMT

Indonesian police charged a Christian man with blasphemy on Dec. 15 for allegedly insulting Islam by comparing the Prophet Muhammad with an alleged child rapist in a social media post.

Joseph Suryadi, 39, from Tangerang, a city near Jakarta, is accused of uploading a caricature of the prophet on Twitter and comparing him with an Islamic boarding school owner called Herry Wirawan.

Wirawan, from Bandung in West Java, is accused of raping 13 girls at his boarding school.


The caricature shows a man with a woman in a hijab along with a message saying that the age of Aisah, the Prophet Muhammad’s wife, was young when she was married to the prophet and that his desire for the young woman was like what Wirawan had for his victims.

Police arrested Suryadi after receiving more than 7,000 complaints from Indonesian Muslims. He faces up to five years in prison if found guilty of blasphemy.

Jakarta police spokesman Endra Zulpan said Suryadi had denied uploading the caricature and said it happened after he discovered his mobile phone had gone missing.

Father Antonius Benny Susetyo, a member of a presidential unit promoting communal tolerance, told UCA News that Suryadi will have committed a grave offense if it’s proved he did upload the social media post.

“The government wants the law to protect all people from hatred related to religion and race. We believe the police will resolve it professionally,” he said.

https://www.ucanews.com/news/indonesian-christian-in-blasphemy-storm-for-twitter-insult/95382

",hate
"Islam never justifies violence, especially if it comes from within",nothate
"The people coming to our country as refugees are not terrorists, in a lot of cases they're fleeing terrorism",nothate
Give a look at this if you want: [LINK],nothate
"Islam is hateful! It is not compatible with Western culture, we must completely destroy Islam.",hate
To say they want to destroy our culture is a lie. Let's be realistic. What about just being human?,nothate
That is not true. Do you have evidence that all Muslims are terrorists?,nothate
The vast majority of Muslims in the world are peaceful. Do you have any facts suppporting your argument?,nothate
"In the Quran you can find extracts that promote peace and harmony in the world, not conflict and hostility. What about it is incompatible?",nothate
"Muslims want to impose sharia law on our country, we need to show them it’s not welcome!",hate
"I know where you are coming from, but I find it hard to understand the argument that if ISIS and Boko Haram are our enemies then all Muslims are our enemies.",nothate
"Well, they should be excluded! Islam is a disease, and a ban on Muslims would be the height of peace.",hate
"I don't care how much they contribute, Muslims are not welcome in our country.",hate
Muslims are part of our society and culture. They have helped to build Western civilization. They are our brothers and sisters.,nothate
"Given that Muslims live peacefully in our societies, I would not say that they have no place here.",nothate
"There's no need to understand Islam, the world would be a better place without Muslims. They are only killing and raping our children.",hate
Muslims are terrorists.,hate
It's in a Muslm's nature to be an annoying prick.,hate
"They're not brothers and sisters, Muslims are too different from us in so many ways, and they have no place in our country.",hate
Shouldn't you watch out your own hate speech before pointing the finger at others?,nothate
"I think you're the one who's wrong. Islam about death, not peace.",hate
You are nothing but common Muslim trash to me.,hate
If the Koran was published today it would be banned as hate speech.,hate
Muslims are a problem in the UK. They are not welcome here. They are not like other religions.,hate
Now we know that Islam is a destructive and violent religion which inspires terrorism all over the world.,hate
"Ah yeah, I've heard your point of view expressed but you still have not taken a look through the thread yet. Apples and oranges are not the same and cultures have never been 'equal'.",hate
"There's nothing to suggest that, Islam is a religion of peace.",nothate
If Muslims came here they would be banned.,hate
"Islam is a religion of peace. It is about love, and tolerance, and understanding. I don't see any need to be concerned about Muslims not contributing to our society.",nothate
How do you explain their terrorism then? Muslims are terrorists.,hate
It is easier to blame others instead of looking at our own sexism.,nothate
"I don't think Muslim are a problem, what makes them so?",nothate
"Muslims contribute to this country and are part of it. How can they be a ""chronic threat""?",nothate
We should not allow for any Muslim to be raped.,nothate
"Islam is an ideology of conquest, if we leave Muslims be, they will conquer us!",hate
You're the one saying untrue things! Islam is a complete and total false doctrine and should be rejected.,hate
You can't put blame on an entire religion.,nothate
They deserve hatred. Islam must be stopped.,hate
How about we cut these Muslims's throats?,hate
"Islam is the only religion that is founded on hate and violence, though.",hate
"Yes, Islam is not a peaceful religion.",hate
"I don't know, this guy makes some good points.",hate
Muslims threaten the civilised Europe,hate
"This isn't true. The problem of terrorism can be found all over the world, Muslims don't cause it. It's better to know what the difference is between a religion and extremism instead of targetting Muslims specifically.",nothate
I don't think that what you are saying is true. I think that the idea that Muslims are incompatible with Western society is a myth.,nothate
"If the goal of a religion was to celebrate death, then it is a religion that must be banned from any country. But the truth is that Islam is not a death clut, hence it should not be banned.",nothate
Your words imply that all Muslims are incompatible with Western culture. Do you have any data to back this up?,nothate
I want to end every Muslim's life.,hate
"Well E.T. probably wouldn't be returning home to civil war or persecution, which is why many refugees are forced to flee in the first place.",nothate
"Islam is a religion, and it ihas never been about hate. It is about bringing peace and harmony to the world. If you really care about peace, you would not be persecuting people on the basis of their religion.",nothate
"This is a made up stereotype. A lot of Muslims are good, respectful and peaceful people.",nothate
"In many countries, including for instance France, Italy, Spain, Germany, Islam is not considered a threat by majority of the population.",nothate
You'd better shy away from Islam because they are dangerous.,hate
All Muslims are such massive scumbags.,hate
"European countries have no immigration restrictions, so Muslims can enter any country. Many Muslim suffer discrimination and violence, especially through words like yours, buch restrictions don't exist anyway.",nothate
"Muslims should be made to assimilate or be deported! They don’t recognise man made laws, they will only follow their prophets teachings.",hate
Islam is not a religion of hatred and discrimination.,nothate
Muslims are a problem in the UK. They are not welcome here. They are not like other religions.,hate
I really am just going to murderthat Muslim.,hate
Muslims are not welcome in our country. They are not loyal citizens!,hate
Islam is not a religion and its adherents are all bad.,hate
Muslims are here to rule us with their religion.,hate
"What exactly are you saying by ""potential terrorist""?",nothate
What about all those Muslims in Britain? They vote with their feet.,hate
"The West is full of Muslims and they are all our brothers and sisters. We cannot be ""coping with the truth"" that they are a cancer to Britain, as this claim implies, because this is not true.",nothate
"We can’t be complacent when they’re taking over whole areas and towns, they’re trying to take over.",hate
You and all the other Muslims are a blessing to society.,nothate
Let's get rid of Muslims once and for all.,hate
"In my view, Muslims are blamed as much as ""white people"". I always see news that paint them all with the same brush and I don't think it's correct.",nothate
You are nothing but common Muslim trash.,hate
The Jihadis are at it again.,hate
"That is a broad generalization based on harmful stereotypes. Muslims are not all terrorists, and Islam has never been a threat to us.",nothate
"I can't bear Muslims coming here. They bring poverty, craziness and mental unstability with them.",hate
The only thing I'm sure of is that Islam is a religion of violence.,hate
Now we know that Islam is a destructive and violent religion which inspires terrorism all over the world.,hate
"Well, okay, le'ts say they are not all terrorists...but every Muslim is a potential terrorist!",hate
"The same can be said for the Bible. Are you perhaps saying that we have become more tolerant? Because attitudes towards Christians, Jews and Muslims have indeed shifted with the times.",nothate
"Muslims are our fellow human beings and we should do more for them, after all we're the same.",nothate
"The West has never been at war with Islam, and I don't see how the war would have just begun.",nothate
Islam is a religion of peace.,nothate
"The health condition differences in the countries with the largest Muslim population, which are 48 out of the 190 World Health Organisation member states, are tied to the use of clean water, which is often not available there, so the problem does not relate to DNA.",nothate
Do you know any Muslims that share your opinion regarding their hate towards immigrants or Christians?,nothate
I cannot accept that Islam is peaceful. It is a religion of death.,hate
Muslims are a cancer.,hate
"We are a country made up of many different faiths, and we are proud to be diverse. We do not tolerate intolerance.",nothate
Muslims are not welcome in our country and Islam should be banned.,hate
"Muslim folks are different from us anyway, and should be isolated for this.",hate
Peace? You crack me up! Islam is a religion of violence.,hate
"Where did you get this information? The vast majority of Muslims are peaceful people who respect the law. Terrorism happens because of extremism, which is only a vocal minority.",nothate
Islam is a religion of peace.,nothate
"Muslims make up around 5% of the population in Europe, which is more than three times less than they were in 1100. They have contributed greatly to our civilisation. Their diversity is part of what makes Europe so great as well.",nothate
But what about all those stories about how all Muslims are terrorists?,hate
That's wrong. Why would Muslims be incompatible with European societies?,nothate
I feel nothing but contempt for Muslims.,hate
"Yes, they are. Islam is a disease that must be eradicated.",hate
"Muslims have nothing to contribute to our society, they are only an obstacle. They are not worth the while of our hard-earned money.",hate
Muslims have no place in a civilised country like this.,hate
"No, Muslims are not welcome here. They cannot coexist with us.",hate
"No, but I know they are just a chronic threat.",hate
"If you think they do that you've been living under a rock. Many Muslims who come over here are criminals and violent, they aren't welcome.",hate
Isn't it time we stopped thinking about Muslims as a problem? They are just trying to live a normal life.,nothate
Muslims have nothing to contribute to our society. They are just a burden.,hate
