,text,label,topics
0,even say true muslim european want,0,[]
1,believe muzzie,0,[]
2,problem islam killing infidel must banned,0,['http://dbpedia.org/resource/Infidel']
3,muslim human being human right,1,[]
4,think quite ridiculous though people seeking asylum migrating scheming look like reading many conspiracy theory,1,"['http://dbpedia.org/resource/Right_of_asylum', 'http://dbpedia.org/resource/Conspiracy_theory']"
5,deathto muslim,0,[]
6,muslim terrorist,0,[]
7,muslim problem many european country mostly unemployed live poverty asset could integrate,0,['http://dbpedia.org/resource/Poverty']
8,islam disease sickening child,0,[]
9,read sure true,1,[]
10,muslim faith problematic ca pretend like,0,[]
11,brother share value interested future,0,[]
12,bomber middle eastern muslim,0,['http://dbpedia.org/resource/Bomber']
13,trusting everything read online wise especially personal blog try copy news site citizen journalism style,1,['http://dbpedia.org/resource/Citizen_journalism']
14,welcome case would point coming first place,1,[]
15,true islam peaceful religion vast majority muslim good people islam religion everyone respect,1,['http://dbpedia.org/resource/Fairy']
16,many c e l f u c k e r country,0,[]
17,bigot keep saying muslim like ought executed,1,[]
18,idea come pray god,0,[]
19,islam religion established peaceful apart extremist remains case,1,[]
20,muslim place modern european country place civilised europe,0,[]
21,muslim nothing contribute society,0,[]
22,word imply muslim incompatible western culture data back,1,[]
23,islam disease hate islam violent,0,[]
24,concept european union wider lot people included muslim,1,['http://dbpedia.org/resource/European_Union']
25,aware evidence claim islam peaceful religion relation islam ponzi scheme fraud,1,['http://dbpedia.org/resource/Ponzi_scheme']
26,well welcoming people muslim world make u uncomfortable,0,[]
27,5 population europe muslim muslim therefore small part society important nontheless also want add ethnicity always correlate religion,1,[]
28,terrorist welcome,0,[]
29,islam religion peace everyone allowed choose,1,[]
30,muslim rapist,0,[]
31,islam peaceful religion like follower disease islam discrimination,1,[]
32,many jihadis country,0,[]
33,many muslim uk condemnation,0,[]
34,problem islam killing infidel must banned,0,['http://dbpedia.org/resource/Infidel']
35,medium would u believe huge influx muslim europe true number around million muslim living eu 2016 corresponding,1,[]
36,islam toxic ideology contaminating europe,0,[]
37,muslim mp stop pretending british invader,0,[]
38,nothing quran conflict western culture,1,[]
39,muslim like deserve die,0,[]
40,tortuer muslim without mercy,0,[]
41,muslim life value,0,[]
42,muslim probably stupid,0,[]
43,going generalise least show source maybe prove wrong list example muslim rapist,1,[]
44,muslim violent invader infiltrated city town village course welcome must stamp,0,"['http://dbpedia.org/resource/City', 'http://dbpedia.org/resource/Village']"
45,koran compatible country,0,['http://dbpedia.org/resource/Quran']
46,world muslim like would dead,0,[]
47,islam teach u love neighbor includes share religion belief,1,[]
48,islam hate muslim first set foot britain race hate started england,0,[]
49,concept tolerant muslim world biggest oxymoron islam spewing ignorance adherent making tolerance truth muslim tolerate people faith,0,['http://dbpedia.org/resource/Oxymoron']
50,thing elite made conceal great replacement,0,['http://dbpedia.org/resource/The_Great_Replacement']
51,stop islam promoting sharia law several country,0,['http://dbpedia.org/resource/Sharia']
52,many muslim peaceful people seem unaware think unfair people different faith human,1,[]
53,true religion islam nothing hatred would rather say political ideology promotes hate violence towards muslim,1,['http://dbpedia.org/resource/True_Religion_(clothing_brand)']
54,act like u disgusting und uncivilised europe place,0,[]
55,believe muslim say islam violent religion,0,[]
56,think muslim away,1,[]
57,keep attacking muslim gone,0,[]
58,seem like reasonable conclusion based upon islam peaceful religion reason saying,1,[]
59,coincidentally heard muslim,0,[]
60,come never heard thing islam religion people chose,1,[]
61,islam religion trying control u promote inclusion le,1,[]
62,incompatible understand tolerant diverse britain mean muslim country able live side side equal regardless religion,1,[]
63,indonesian christian blasphemy storm twitter police charge man insulting islam allegedly comparing prophet muhammad accused child rapist indonesian christian blasphemy storm twitter joseph suryadi arrested indonesian police 14 accused insulting prophet muhammad social medium photo joseph suryadi twitter account konradus epa konradus epa published december 15 2021 gmt indonesian police charged christian man blasphemy 15 allegedly insulting islam comparing prophet muhammad alleged child rapist social medium post joseph suryadi 39 tangerang city near jakarta accused uploading caricature prophet twitter comparing islamic boarding school owner called herry wirawan wirawan bandung west java accused raping 13 girl boarding school caricature show man woman hijab along message saying age aisah prophet muhammad wife young married prophet desire young woman like wirawan victim police arrested suryadi receiving complaint indonesian muslim face five year prison found guilty blasphemy jakarta police spokesman endra zulpan said suryadi denied uploading caricature said happened discovered mobile phone gone missing father antonius benny susetyo member presidential unit promoting communal tolerance told uca news suryadi committed grave offense proved upload social medium post government want law protect people hatred related religion race believe police resolve professionally said http,0,"['http://dbpedia.org/resource/Blasphemy_in_Pakistan', 'http://dbpedia.org/resource/Muhammad', 'http://dbpedia.org/resource/Child_sexual_abuse', 'http://dbpedia.org/resource/Blasphemy_in_Pakistan', 'http://dbpedia.org/resource/Muhammad', 'http://dbpedia.org/resource/United_States_Environmental_Protection_Agency', 'http://dbpedia.org/resource/United_States_Environmental_Protection_Agency', 'http://dbpedia.org/resource/Greenwich_Mean_Time', 'http://dbpedia.org/resource/Blasphemy_in_Pakistan', 'http://dbpedia.org/resource/Muhammad', 'http://dbpedia.org/resource/Child_sexual_abuse', 'http://dbpedia.org/resource/Tangerang', 'http://dbpedia.org/resource/Jakarta', 'http://dbpedia.org/resource/Caricature', 'http://dbpedia.org/resource/Prophets_and_messengers_in_Islam', 'http://dbpedia.org/resource/Pesantren', 'http://dbpedia.org/resource/West_Java', 'http://dbpedia.org/resource/Pesantren', 'http://dbpedia.org/resource/Caricature', 'http://dbpedia.org/resource/Hijab', 'http://dbpedia.org/resource/Muhammad', 'http://dbpedia.org/resource/Prophets_and_messengers_in_Islam', 'http://dbpedia.org/resource/Blasphemy_in_Pakistan', 'http://dbpedia.org/resource/Jakarta', 'http://dbpedia.org/resource/Caricature', 'http://dbpedia.org/resource/Mobile_phone']"
64,islam never justifies violence especially come within,1,[]
65,people coming country refugee terrorist lot case fleeing terrorism,1,"['http://dbpedia.org/resource/Refugee', 'http://dbpedia.org/resource/Terrorism']"
66,give look want link,1,[]
67,islam hateful compatible western culture must completely destroy islam,0,[]
68,say want destroy culture lie let realistic human,1,[]
69,true evidence muslim terrorist,1,[]
70,vast majority muslim world peaceful fact suppporting argument,1,[]
71,quran find extract promote peace harmony world conflict hostility incompatible,1,[]
72,muslim want impose sharia law country need show welcome,0,"['http://dbpedia.org/resource/Impose_(magazine)', 'http://dbpedia.org/resource/Sharia']"
73,know coming find hard understand argument isi boko haram enemy muslim enemy,1,['http://dbpedia.org/resource/Boko_Haram']
74,well excluded islam disease ban muslim would height peace,0,[]
75,care much contribute muslim welcome country,0,[]
76,muslim part society culture helped build western civilization brother sister,1,[]
77,given muslim live peacefully society would say place,1,[]
78,need understand islam world would better place without muslim killing raping child,0,[]
79,muslim terrorist,0,[]
80,muslm nature annoying prick,0,[]
81,brother sister muslim different u many way place country,0,[]
82,watch hate speech pointing finger others,1,['http://dbpedia.org/resource/Hate_speech']
83,think one wrong islam death peace,0,[]
84,nothing common muslim trash,0,[]
85,koran published today would banned hate speech,0,"['http://dbpedia.org/resource/Quran', 'http://dbpedia.org/resource/Hate_speech']"
86,muslim problem uk welcome like religion,0,[]
87,know islam destructive violent religion inspires terrorism world,0,['http://dbpedia.org/resource/Terrorism']
88,ah yeah heard point view expressed still taken look thread yet apple orange culture never,0,['http://dbpedia.org/resource/Apple']
89,nothing suggest islam religion peace,1,[]
90,muslim came would banned,0,[]
91,islam religion peace love tolerance understanding see need concerned muslim contributing society,1,[]
92,explain terrorism muslim terrorist,0,['http://dbpedia.org/resource/Terrorism']
93,easier blame others instead looking sexism,1,['http://dbpedia.org/resource/Sexism']
94,think muslim problem make,1,[]
95,muslim contribute country part chronic threat,1,[]
96,allow muslim raped,1,[]
97,islam ideology conquest leave muslim conquer u,0,[]
98,one saying untrue thing islam complete total false doctrine rejected,0,[]
99,ca put blame entire religion,1,[]
100,deserve hatred islam must stopped,0,[]
101,cut muslim throat,0,[]
102,islam religion founded hate violence though,0,[]
103,yes islam peaceful religion,0,[]
104,know guy make good point,0,[]
105,muslim threaten civilised europe,0,[]
106,true problem terrorism found world muslim cause better know difference religion extremism instead targetting muslim specifically,1,['http://dbpedia.org/resource/Terrorism']
107,think saying true think idea muslim incompatible western society myth,1,[]
108,goal religion celebrate death religion must banned country truth islam death clut hence banned,1,[]
109,word imply muslim incompatible western culture data back,1,[]
110,want end every muslim life,0,[]
111,well probably would returning home civil war persecution many refugee forced flee first place,1,['http://dbpedia.org/resource/Refugee']
112,islam religion ihas never hate bringing peace harmony world really care peace would persecuting people basis religion,1,[]
113,made stereotype lot muslim good respectful peaceful people,1,['http://dbpedia.org/resource/Stereotype']
114,many country including instance france italy spain germany islam considered threat majority population,1,['http://dbpedia.org/resource/Germany']
115,better shy away islam dangerous,0,[]
116,muslim massive scumbags,0,[]
117,european country immigration restriction muslim enter country many muslim suffer discrimination violence especially word like buch restriction exist anyway,1,[]
118,muslim made assimilate deported recognise man made law follow prophet teaching,0,['http://dbpedia.org/resource/Prophet']
119,islam religion hatred discrimination,1,[]
120,muslim problem uk welcome like religion,0,[]
121,really going murderthat muslim,0,[]
122,muslim welcome country loyal citizen,0,[]
123,islam religion adherent bad,0,[]
124,muslim rule u religion,0,[]
125,exactly saying potential terrorist,1,[]
126,muslim britain vote foot,0,[]
127,west full muslim brother sister coping truth cancer britain claim implies true,1,['http://dbpedia.org/resource/Cancer']
128,complacent taking whole area town trying take,0,[]
129,muslim blessing society,1,[]
130,let get rid muslim,0,[]
131,view muslim blamed much white people always see news paint brush think correct,1,[]
132,nothing common muslim trash,0,[]
133,jihadis,0,[]
134,broad generalization based harmful stereotype muslim terrorist islam never threat u,1,['http://dbpedia.org/resource/Stereotype']
135,ca bear muslim coming bring poverty craziness mental unstability,0,"['http://dbpedia.org/resource/Bear', 'http://dbpedia.org/resource/Poverty']"
136,thing sure islam religion violence,0,[]
137,know islam destructive violent religion inspires terrorism world,0,['http://dbpedia.org/resource/Terrorism']
138,well okay say terrorist every muslim potential terrorist,0,[]
